concept:name;case:concept:name;time:timestamp;end;type;user;travel_start;travel_end;cost
file travel request;1446;01.01.17 13:30;02.01.17 06:03;Employee;BO5849;10.04.17;11.04.17;124,45
check if travel request needs preliminary price inquiry;1446;02.01.17 06:03;02.01.17 06:04;;;10.04.17;11.04.17;
prepare booking proposal;1446;03.01.17 15:51;03.01.17 17:10;Travel Department;NV2279;10.04.17;11.04.17;
send booking proposal to employee;1446;05.01.17 15:31;05.01.17 15:34;Travel Department;NV2279;10.04.17;11.04.17;
check booking proposal;1446;05.01.17 20:27;05.01.17 20:31;Employee;BO5849;10.04.17;11.04.17;
check if price inquiry is still needed and up to date;1446;11.01.17 05:59;11.01.17 06:18;Employee;BO5849;10.04.17;11.04.17;
request update of the booking proposal;1446;11.01.17 06:18;11.01.17 06:19;Employee;BO5849;10.04.17;11.04.17;
prepare booking proposal;1446;13.01.17 13:27;13.01.17 14:08;Travel Department;NV2279;10.04.17;11.04.17;
send booking proposal to employee;1446;18.01.17 09:10;18.01.17 09:13;Travel Department;NV2279;10.04.17;11.04.17;
check booking proposal;1446;18.01.17 13:33;18.01.17 13:36;Employee;BO5849;10.04.17;11.04.17;
transform price inquiry to travel request;1446;18.01.17 13:44;18.01.17 13:44;Employee;BO5849;10.04.17;11.04.17;
decide on approval requirements;1446;18.01.17 13:44;18.01.17 13:44;;;10.04.17;11.04.17;
check if booking is necessary;1446;23.01.17 10:33;23.01.17 10:36;Travel Department;NV2279;10.04.17;11.04.17;
check if expense documents exist;1446;24.04.17 08:36;24.04.17 09:14;Employee;BO5849;10.04.17;11.04.17;
upload travel expense documents;1446;24.04.17 09:14;24.04.17 09:28;Employee;BO5849;10.04.17;11.04.17;
file travel expense report;1446;24.04.17 09:28;24.04.17 09:40;Employee;BO5849;10.04.17;11.04.17;
confirm travel expense report;1446;24.04.17 09:40;24.04.17 09:42;Employee;BO5849;10.04.17;11.04.17;
decide on travel expense approval;1446;24.04.17 14:09;24.04.17 14:15;Manager;TD8091;10.04.17;11.04.17;
send request for travel expense correction;1446;24.04.17 14:15;24.04.17 14:17;;;10.04.17;11.04.17;
correct travel expense report;1446;27.04.17 14:30;27.04.17 15:31;Employee;BO5849;10.04.17;11.04.17;
decide on travel expense approval;1446;28.04.17 13:59;28.04.17 14:05;Manager;TD8091;10.04.17;11.04.17;
send original documents to archive;1446;08.05.17 06:59;08.05.17 07:26;Employee;BO5849;10.04.17;11.04.17;
calculate payments;1446;19.05.17 13:46;19.05.17 14:09;Accounting;CX8911;10.04.17;11.04.17;73,85
pay expenses;1446;29.05.17 09:25;29.05.17 09:36;Accounting;CX8911;10.04.17;11.04.17;73,85
file travel request;1463;02.01.17 05:59;02.01.17 06:22;Employee;KI9211;;;2759,45
check if travel request needs preliminary price inquiry;1463;02.01.17 06:22;02.01.17 06:22;;;;;
decide on approval requirements;1463;02.01.17 06:22;02.01.17 06:23;;;;;
forward request to approver;1463;02.01.17 06:23;02.01.17 06:25;;;;;
decide on request;1463;02.01.17 13:02;02.01.17 13:03;Manager;AK7488;;;
send request for correction;1463;02.01.17 13:03;02.01.17 13:05;;;;;
decide on approval requirements;1463;11.01.17 05:38;11.01.17 05:39;;;;;
forward request to approver;1463;11.01.17 05:39;11.01.17 05:40;;;;;
correct request;1463;11.01.17 13:05;11.01.17 13:38;Employee;KI9211;;;
check if booking is necessary;1463;13.01.17 12:49;13.01.17 12:51;Travel Department;NV2279;;;
prepare booking proposal;1463;18.01.17 07:59;18.01.17 09:21;Travel Department;NV2279;;;
send booking proposal to employee;1463;20.01.17 14:54;20.01.17 14:58;Travel Department;NV2279;;;
check booking proposal;1463;20.01.17 18:14;20.01.17 18:20;Employee;KI9211;;;
check if travel request is still needed and up to date;1463;25.01.17 06:56;25.01.17 07:34;Employee;KI9211;;;
file travel request;1469;02.01.17 05:59;02.01.17 06:15;Employee;GV7676;09.04.17;23.04.17;4418,43
check if travel request needs preliminary price inquiry;1469;02.01.17 06:15;02.01.17 06:16;;;09.04.17;23.04.17;
decide on approval requirements;1469;02.01.17 06:16;02.01.17 06:16;;;09.04.17;23.04.17;
forward request to approver;1469;02.01.17 06:16;02.01.17 06:17;;;09.04.17;23.04.17;
decide on request;1469;02.01.17 13:00;02.01.17 13:04;Manager;TD8091;09.04.17;23.04.17;
check if booking is necessary;1469;04.01.17 13:28;04.01.17 13:29;Travel Department;JV9257;09.04.17;23.04.17;
prepare booking proposal;1469;06.01.17 12:53;06.01.17 14:49;Travel Department;JV9257;09.04.17;23.04.17;
send booking proposal to employee;1469;10.01.17 14:10;10.01.17 14:12;Travel Department;JV9257;09.04.17;23.04.17;
check booking proposal;1469;10.01.17 17:34;10.01.17 17:34;Employee;GV7676;09.04.17;23.04.17;
check if travel request is still needed and up to date;1469;16.01.17 05:59;16.01.17 06:46;Employee;GV7676;09.04.17;23.04.17;
request update of the booking proposal;1469;16.01.17 06:46;16.01.17 06:46;Employee;GV7676;09.04.17;23.04.17;
prepare booking proposal;1469;18.01.17 14:30;18.01.17 15:49;Travel Department;JV9257;09.04.17;23.04.17;
send booking proposal to employee;1469;23.01.17 13:14;23.01.17 13:16;Travel Department;JV9257;09.04.17;23.04.17;
check booking proposal;1469;23.01.17 14:56;23.01.17 14:59;Employee;GV7676;09.04.17;23.04.17;
book travel;1469;26.01.17 15:58;26.01.17 18:22;Travel Department;JV9257;09.04.17;23.04.17;
check if expense documents exist;1469;24.04.17 15:22;24.04.17 15:34;Employee;GV7676;09.04.17;23.04.17;
file travel expense report;1469;24.04.17 15:34;24.04.17 15:48;Employee;GV7676;09.04.17;23.04.17;
confirm travel expense report;1469;24.04.17 15:48;24.04.17 15:52;Employee;GV7676;09.04.17;23.04.17;
