stage;activity;case;start;end;case start;case end;previous;current;waiting_time_day;waiting_time_min;activity_duration_min;total_min;total_days;previous;case_aggregate_min;case_aggregate_days;type;user;till_trip_starts;travel_start;travel_end;travel_duration;since_trip_end;cost;kind_of_non-conformance
planning;file travel request;1446;01.01.17 13:30;02.01.17 06:03;YES;NO;pay expenses;file travel request;;;993;993;0,69;;993;0,69;Employee;BO5849;97,75;10.04.17;11.04.17;1;;124,45;truly non-conforming
planning;check if travel request needs preliminary price inquiry;1446;02.01.17 06:03;02.01.17 06:04;NO;NO;file travel request;check if travel request needs preliminary price inquiry;0;0;1;1;0;993;994;0,69;;;97,75;10.04.17;11.04.17;1;;;truly non-conforming
planning;prepare booking proposal;1446;03.01.17 15:51;03.01.17 17:10;NO;NO;check if travel request needs preliminary price inquiry;prepare booking proposal;1,41;2027;79;2106;1,46;994;3100;2,15;Travel Department;NV2279;96,28;10.04.17;11.04.17;1;;;truly non-conforming
planning;send booking proposal to employee;1446;05.01.17 15:31;05.01.17 15:34;NO;NO;prepare booking proposal;send booking proposal to employee;1,93;2781;3;2784;1,93;3100;5884;4,09;Travel Department;NV2279;94,35;10.04.17;11.04.17;1;;;truly non-conforming
planning;check booking proposal;1446;05.01.17 20:27;05.01.17 20:31;NO;NO;send booking proposal to employee;check booking proposal;0,2;293;4;297;0,21;5884;6181;4,29;Employee;BO5849;94,15;10.04.17;11.04.17;1;;;truly non-conforming
planning;check if price inquiry is still needed and up to date;1446;11.01.17 05:59;11.01.17 06:18;NO;NO;check booking proposal;check if price inquiry is still needed and up to date;5,39;7768;19;7787;5,41;6181;13968;9,7;Employee;BO5849;88,74;10.04.17;11.04.17;1;;;truly non-conforming
planning;request update of the booking proposal;1446;11.01.17 06:18;11.01.17 06:19;NO;NO;check if price inquiry is still needed and up to date;request update of the booking proposal;0;0;1;1;0;13968;13969;9,7;Employee;BO5849;88,74;10.04.17;11.04.17;1;;;truly non-conforming
planning;prepare booking proposal;1446;13.01.17 13:27;13.01.17 14:08;NO;NO;request update of the booking proposal;prepare booking proposal;2,3;3308;41;3349;2,33;13969;17318;12,03;Travel Department;NV2279;86,41;10.04.17;11.04.17;1;;;truly non-conforming
planning;send booking proposal to employee;1446;18.01.17 09:10;18.01.17 09:13;NO;NO;prepare booking proposal;send booking proposal to employee;4,79;6902;3;6905;4,8;17318;24223;16,82;Travel Department;NV2279;81,62;10.04.17;11.04.17;1;;;truly non-conforming
planning;check booking proposal;1446;18.01.17 13:33;18.01.17 13:36;NO;NO;send booking proposal to employee;check booking proposal;0,18;260;3;263;0,18;24223;24486;17;Employee;BO5849;81,43;10.04.17;11.04.17;1;;;truly non-conforming
planning;transform price inquiry to travel request;1446;18.01.17 13:44;18.01.17 13:44;NO;NO;check booking proposal;transform price inquiry to travel request;0,01;8;0;8;0,01;24486;24494;17,01;Employee;BO5849;81,43;10.04.17;11.04.17;1;;;truly non-conforming
planning;decide on approval requirements;1446;18.01.17 13:44;18.01.17 13:44;NO;NO;transform price inquiry to travel request;decide on approval requirements;0;0;0;0;0;24494;24494;17,01;;;81,43;10.04.17;11.04.17;1;;;truly non-conforming
planning;check if booking is necessary;1446;23.01.17 10:33;23.01.17 10:36;NO;NO;decide on approval requirements;check if booking is necessary;4,87;7009;3;7012;4,87;24494;31506;21,88;Travel Department;NV2279;76,56;10.04.17;11.04.17;1;;;truly non-conforming
reporting;check if expense documents exist;1446;24.04.17 08:36;24.04.17 09:14;NO;NO;check if booking is necessary;check if expense documents exist;90,92;130920;38;130958;90,94;31506;162464;112,82;Employee;BO5849;;10.04.17;11.04.17;1;13,36;;truly non-conforming
reporting;upload travel expense documents;1446;24.04.17 09:14;24.04.17 09:28;NO;NO;check if expense documents exist;upload travel expense documents;0;0;14;14;0,01;162464;162478;112,83;Employee;BO5849;;10.04.17;11.04.17;1;13,38;;truly non-conforming
reporting;file travel expense report;1446;24.04.17 09:28;24.04.17 09:40;NO;NO;upload travel expense documents;file travel expense report;0;0;12;12;0,01;162478;162490;112,84;Employee;BO5849;;10.04.17;11.04.17;1;13,39;;truly non-conforming
reporting;confirm travel expense report;1446;24.04.17 09:40;24.04.17 09:42;NO;NO;file travel expense report;confirm travel expense report;0;0;2;2;0;162490;162492;112,84;Employee;BO5849;;10.04.17;11.04.17;1;13,4;;truly non-conforming
reporting;decide on travel expense approval;1446;24.04.17 14:09;24.04.17 14:15;NO;NO;confirm travel expense report;decide on travel expense approval;0,19;267;6;273;0,19;162492;162765;113,03;Manager;TD8091;;10.04.17;11.04.17;1;13,59;;truly non-conforming
reporting;send request for travel expense correction;1446;24.04.17 14:15;24.04.17 14:17;NO;NO;decide on travel expense approval;send request for travel expense correction;0;0;2;2;0;162765;162767;113,03;;;;10.04.17;11.04.17;1;13,59;;truly non-conforming
reporting;correct travel expense report;1446;27.04.17 14:30;27.04.17 15:31;NO;NO;send request for travel expense correction;correct travel expense report;3,01;4333;61;4394;3,05;162767;167161;116,08;Employee;BO5849;;10.04.17;11.04.17;1;16,6;;truly non-conforming
reporting;decide on travel expense approval;1446;28.04.17 13:59;28.04.17 14:05;NO;NO;correct travel expense report;decide on travel expense approval;0,94;1348;6;1354;0,94;167161;168515;117,02;Manager;TD8091;;10.04.17;11.04.17;1;17,58;;truly non-conforming
reporting;send original documents to archive;1446;08.05.17 06:59;08.05.17 07:26;NO;NO;decide on travel expense approval;send original documents to archive;9,7;13974;27;14001;9,72;168515;182516;126,75;Employee;BO5849;;10.04.17;11.04.17;1;27,29;;truly non-conforming
reporting;calculate payments;1446;19.05.17 13:46;19.05.17 14:09;NO;NO;send original documents to archive;calculate payments;11,26;16220;23;16243;11,28;182516;198759;138,03;Accounting;CX8911;;10.04.17;11.04.17;1;38,57;73,85;truly non-conforming
reporting;pay expenses;1446;29.05.17 09:25;29.05.17 09:36;NO;YES;calculate payments;pay expenses;9,8;14116;11;14127;9,81;198759;212886;147,84;Accounting;CX8911;;10.04.17;11.04.17;1;48,39;73,85;truly non-conforming
planning;file travel request;1463;02.01.17 05:59;02.01.17 06:22;YES;NO;pay expenses;file travel request;;;23;23;0,02;;23;0,02;Employee;KI9211;;;;;;2759,45;truly non-conforming
planning;check if travel request needs preliminary price inquiry;1463;02.01.17 06:22;02.01.17 06:22;NO;NO;file travel request;check if travel request needs preliminary price inquiry;0;0;0;0;0;23;23;0,02;;;;;;;;;truly non-conforming
planning;decide on approval requirements;1463;02.01.17 06:22;02.01.17 06:23;NO;NO;check if travel request needs preliminary price inquiry;decide on approval requirements;0;0;1;1;0;23;24;0,02;;;;;;;;;truly non-conforming
planning;forward request to approver;1463;02.01.17 06:23;02.01.17 06:25;NO;NO;decide on approval requirements;forward request to approver;0;0;2;2;0;24;26;0,02;;;;;;;;;truly non-conforming
planning;decide on request;1463;02.01.17 13:02;02.01.17 13:03;NO;NO;forward request to approver;decide on request;0,28;397;1;398;0,28;26;424;0,29;Manager;AK7488;;;;;;;truly non-conforming
planning;send request for correction;1463;02.01.17 13:03;02.01.17 13:05;NO;NO;decide on request;send request for correction;0;0;2;2;0;424;426;0,3;;;;;;;;;truly non-conforming
planning;decide on approval requirements;1463;11.01.17 05:38;11.01.17 05:39;NO;NO;send request for correction;decide on approval requirements;8,69;12513;1;12514;8,69;426;12940;8,99;;;;;;;;;truly non-conforming
planning;forward request to approver;1463;11.01.17 05:39;11.01.17 05:40;NO;NO;decide on approval requirements;forward request to approver;0;0;1;1;0;12940;12941;8,99;;;;;;;;;truly non-conforming
planning;correct request;1463;11.01.17 13:05;11.01.17 13:38;NO;NO;forward request to approver;correct request;0,31;445;33;478;0,33;12941;13419;9,32;Employee;KI9211;;;;;;;truly non-conforming
planning;check if booking is necessary;1463;13.01.17 12:49;13.01.17 12:51;NO;NO;correct request;check if booking is necessary;1,97;2831;2;2833;1,97;13419;16252;11,29;Travel Department;NV2279;;;;;;;truly non-conforming
planning;prepare booking proposal;1463;18.01.17 07:59;18.01.17 09:21;NO;NO;check if booking is necessary;prepare booking proposal;4,8;6908;82;6990;4,85;16252;23242;16,14;Travel Department;NV2279;;;;;;;truly non-conforming
planning;send booking proposal to employee;1463;20.01.17 14:54;20.01.17 14:58;NO;NO;prepare booking proposal;send booking proposal to employee;2,23;3213;4;3217;2,23;23242;26459;18,37;Travel Department;NV2279;;;;;;;truly non-conforming
planning;check booking proposal;1463;20.01.17 18:14;20.01.17 18:20;NO;NO;send booking proposal to employee;check booking proposal;0,14;196;6;202;0,14;26459;26661;18,51;Employee;KI9211;;;;;;;truly non-conforming
planning;check if travel request is still needed and up to date;1463;25.01.17 06:56;25.01.17 07:34;NO;YES;check booking proposal;check if travel request is still needed and up to date;4,53;6516;38;6554;4,55;26661;33215;23,07;Employee;KI9211;;;;;;;truly non-conforming
planning;file travel request;1469;02.01.17 05:59;02.01.17 06:15;YES;NO;check if travel request is still needed and up to date;file travel request;;;16;16;0,01;;16;0,01;Employee;GV7676;96,74;09.04.17;23.04.17;14;;4418,43;truly non-conforming
planning;check if travel request needs preliminary price inquiry;1469;02.01.17 06:15;02.01.17 06:16;NO;NO;file travel request;check if travel request needs preliminary price inquiry;0;0;1;1;0;16;17;0,01;;;96,74;09.04.17;23.04.17;14;;;truly non-conforming
planning;decide on approval requirements;1469;02.01.17 06:16;02.01.17 06:16;NO;NO;check if travel request needs preliminary price inquiry;decide on approval requirements;0;0;0;0;0;17;17;0,01;;;96,74;09.04.17;23.04.17;14;;;truly non-conforming
planning;forward request to approver;1469;02.01.17 06:16;02.01.17 06:17;NO;NO;decide on approval requirements;forward request to approver;0;0;1;1;0;17;18;0,01;;;96,74;09.04.17;23.04.17;14;;;truly non-conforming
planning;decide on request;1469;02.01.17 13:00;02.01.17 13:04;NO;NO;forward request to approver;decide on request;0,28;403;4;407;0,28;18;425;0,3;Manager;TD8091;96,46;09.04.17;23.04.17;14;;;truly non-conforming
planning;check if booking is necessary;1469;04.01.17 13:28;04.01.17 13:29;NO;NO;decide on request;check if booking is necessary;2,02;2904;1;2905;2,02;425;3330;2,31;Travel Department;JV9257;94,44;09.04.17;23.04.17;14;;;truly non-conforming
planning;prepare booking proposal;1469;06.01.17 12:53;06.01.17 14:49;NO;NO;check if booking is necessary;prepare booking proposal;1,98;2844;116;2960;2,06;3330;6290;4,37;Travel Department;JV9257;92,38;09.04.17;23.04.17;14;;;truly non-conforming
planning;send booking proposal to employee;1469;10.01.17 14:10;10.01.17 14:12;NO;NO;prepare booking proposal;send booking proposal to employee;3,97;5721;2;5723;3,97;6290;12013;8,34;Travel Department;JV9257;88,41;09.04.17;23.04.17;14;;;truly non-conforming
planning;check booking proposal;1469;10.01.17 17:34;10.01.17 17:34;NO;NO;send booking proposal to employee;check booking proposal;0,14;202;0;202;0,14;12013;12215;8,48;Employee;GV7676;88,27;09.04.17;23.04.17;14;;;truly non-conforming
planning;check if travel request is still needed and up to date;1469;16.01.17 05:59;16.01.17 06:46;NO;NO;check booking proposal;check if travel request is still needed and up to date;5,52;7945;47;7992;5,55;12215;20207;14,03;Employee;GV7676;82,72;09.04.17;23.04.17;14;;;truly non-conforming
planning;request update of the booking proposal;1469;16.01.17 06:46;16.01.17 06:46;NO;NO;check if travel request is still needed and up to date;request update of the booking proposal;0;0;0;0;0;20207;20207;14,03;Employee;GV7676;82,72;09.04.17;23.04.17;14;;;truly non-conforming
planning;prepare booking proposal;1469;18.01.17 14:30;18.01.17 15:49;NO;NO;request update of the booking proposal;prepare booking proposal;2,32;3344;79;3423;2,38;20207;23630;16,41;Travel Department;JV9257;80,34;09.04.17;23.04.17;14;;;truly non-conforming
planning;send booking proposal to employee;1469;23.01.17 13:14;23.01.17 13:16;NO;NO;prepare booking proposal;send booking proposal to employee;4,89;7045;2;7047;4,89;23630;30677;21,3;Travel Department;JV9257;75,45;09.04.17;23.04.17;14;;;truly non-conforming
planning;check booking proposal;1469;23.01.17 14:56;23.01.17 14:59;NO;NO;send booking proposal to employee;check booking proposal;0,07;100;3;103;0,07;30677;30780;21,38;Employee;GV7676;75,38;09.04.17;23.04.17;14;;;truly non-conforming
planning;book travel;1469;26.01.17 15:58;26.01.17 18:22;NO;NO;check booking proposal;book travel;3,04;4379;144;4523;3,14;30780;35303;24,52;Travel Department;JV9257;72,23;09.04.17;23.04.17;14;;;truly non-conforming
reporting;check if expense documents exist;1469;24.04.17 15:22;24.04.17 15:34;NO;NO;book travel;check if expense documents exist;87,88;126540;12;126552;87,88;35303;161855;112,4;Employee;GV7676;;09.04.17;23.04.17;14;1,64;;truly non-conforming
reporting;file travel expense report;1469;24.04.17 15:34;24.04.17 15:48;NO;NO;check if expense documents exist;file travel expense report;0;0;14;14;0,01;161855;161869;112,41;Employee;GV7676;;09.04.17;23.04.17;14;1,65;;truly non-conforming
reporting;confirm travel expense report;1469;24.04.17 15:48;24.04.17 15:52;NO;NO;file travel expense report;confirm travel expense report;0;0;4;4;0;161869;161873;112,41;Employee;GV7676;;09.04.17;23.04.17;14;1,66;;truly non-conforming
reporting;decide on travel expense approval;1469;25.04.17 13:59;25.04.17 14:06;NO;NO;confirm travel expense report;decide on travel expense approval;0,92;1327;7;1334;0,93;161873;163207;113,34;Manager;JH852;;09.04.17;23.04.17;14;2,58;;truly non-conforming
reporting;send original documents to archive;1469;28.04.17 06:59;28.04.17 07:53;NO;NO;decide on travel expense approval;send original documents to archive;2,7;3893;54;3947;2,74;163207;167154;116,08;Employee;GV7676;;09.04.17;23.04.17;14;5,29;;truly non-conforming
reporting;calculate payments;1469;10.05.17 08:59;10.05.17 09:21;NO;NO;send original documents to archive;calculate payments;12,05;17346;22;17368;12,06;167154;184522;128,14;Accounting;GR7476;;09.04.17;23.04.17;14;17,37;4364,5;truly non-conforming
reporting;pay expenses;1469;19.05.17 14:36;19.05.17 14:47;NO;YES;calculate payments;pay expenses;9,22;13275;11;13286;9,23;184522;197808;137,37;Accounting;GR7476;;09.04.17;23.04.17;14;26,61;1679,5;truly non-conforming
planning;file travel request;1470;02.01.17 05:59;02.01.17 06:29;YES;NO;pay expenses;file travel request;;;30;30;0,02;;30;0,02;Employee;MJ2847;71,73;15.03.17;30.03.17;15;;1734,94;truly non-conforming
planning;check if travel request needs preliminary price inquiry;1470;02.01.17 06:29;02.01.17 06:31;NO;NO;file travel request;check if travel request needs preliminary price inquiry;0;0;2;2;0;30;32;0,02;;;71,73;15.03.17;30.03.17;15;;;truly non-conforming
planning;prepare booking proposal;1470;04.01.17 09:35;04.01.17 10:27;NO;NO;check if travel request needs preliminary price inquiry;prepare booking proposal;2,13;3064;52;3116;2,16;32;3148;2,19;Travel Department;AW2532;69,56;15.03.17;30.03.17;15;;;truly non-conforming
planning;send booking proposal to employee;1470;06.01.17 11:13;06.01.17 11:16;NO;NO;prepare booking proposal;send booking proposal to employee;2,03;2926;3;2929;2,03;3148;6077;4,22;Travel Department;AW2532;67,53;15.03.17;30.03.17;15;;;truly non-conforming
planning;check booking proposal;1470;06.01.17 14:38;06.01.17 14:40;NO;NO;send booking proposal to employee;check booking proposal;0,14;202;2;204;0,14;6077;6281;4,36;Employee;MJ2847;67,39;15.03.17;30.03.17;15;;;truly non-conforming
planning;check if price inquiry is still needed and up to date;1470;16.01.17 05:59;16.01.17 06:18;NO;NO;check booking proposal;check if price inquiry is still needed and up to date;9,64;13879;19;13898;9,65;6281;20179;14,01;Employee;MJ2847;57,74;15.03.17;30.03.17;15;;;truly non-conforming
planning;request update of the booking proposal;1470;16.01.17 06:18;16.01.17 06:18;NO;NO;check if price inquiry is still needed and up to date;request update of the booking proposal;0;0;0;0;0;20179;20179;14,01;Employee;MJ2847;57,74;15.03.17;30.03.17;15;;;truly non-conforming
planning;prepare booking proposal;1470;18.01.17 13:05;18.01.17 14:13;NO;NO;request update of the booking proposal;prepare booking proposal;2,28;3287;68;3355;2,33;20179;23534;16,34;Travel Department;AW2532;55,41;15.03.17;30.03.17;15;;;truly non-conforming
planning;send booking proposal to employee;1470;23.01.17 10:44;23.01.17 10:46;NO;NO;prepare booking proposal;send booking proposal to employee;4,85;6991;2;6993;4,86;23534;30527;21,2;Travel Department;AW2532;50,55;15.03.17;30.03.17;15;;;truly non-conforming
planning;check booking proposal;1470;23.01.17 16:18;23.01.17 16:20;NO;NO;send booking proposal to employee;check booking proposal;0,23;332;2;334;0,23;30527;30861;21,43;Employee;MJ2847;50,32;15.03.17;30.03.17;15;;;truly non-conforming
planning;transform price inquiry to travel request;1470;23.01.17 16:26;23.01.17 16:26;NO;NO;check booking proposal;transform price inquiry to travel request;0;6;0;6;0;30861;30867;21,44;Employee;MJ2847;50,32;15.03.17;30.03.17;15;;;truly non-conforming
planning;decide on approval requirements;1470;23.01.17 16:26;23.01.17 16:27;NO;NO;transform price inquiry to travel request;decide on approval requirements;0;0;1;1;0;30867;30868;21,44;;;50,31;15.03.17;30.03.17;15;;;truly non-conforming
planning;forward request to approver;1470;23.01.17 16:27;23.01.17 16:28;NO;NO;decide on approval requirements;forward request to approver;0;0;1;1;0;30868;30869;21,44;;;50,31;15.03.17;30.03.17;15;;;truly non-conforming
planning;decide on request;1470;24.01.17 12:59;24.01.17 13:00;NO;NO;forward request to approver;decide on request;0,85;1231;1;1232;0,86;30869;32101;22,29;Manager;CV4719;49,46;15.03.17;30.03.17;15;;;truly non-conforming
planning;check if booking is necessary;1470;27.01.17 10:26;27.01.17 10:37;NO;NO;decide on request;check if booking is necessary;2,89;4166;11;4177;2,9;32101;36278;25,19;Travel Department;AW2532;46,56;15.03.17;30.03.17;15;;;truly non-conforming
planning;prepare booking proposal;1470;01.02.17 10:50;01.02.17 11:52;NO;NO;check if booking is necessary;prepare booking proposal;5,01;7213;62;7275;5,05;36278;43553;30,25;Travel Department;AW2532;41,51;15.03.17;30.03.17;15;;;truly non-conforming
planning;send booking proposal to employee;1470;06.02.17 08:10;06.02.17 08:12;NO;NO;prepare booking proposal;send booking proposal to employee;4,85;6978;2;6980;4,85;43553;50533;35,09;Travel Department;AW2532;36,66;15.03.17;30.03.17;15;;;truly non-conforming
planning;check booking proposal;1470;06.02.17 11:36;06.02.17 11:38;NO;NO;send booking proposal to employee;check booking proposal;0,14;204;2;206;0,14;50533;50739;35,24;Employee;MJ2847;36,52;15.03.17;30.03.17;15;;;truly non-conforming
